"Gene"	"model"	"cutpoint"	"AUC"	"FN_FP_TP_TN"	"mcc"
"BRCA1"	"NewVoteModel-Validation"	9	"0.94 (0.897-0.983)"	"5 / 8 / 25 / 79"	0.719389513289996
"BRCA1"	"Vest3Rankscore"	0.86	"0.9 (0.849-0.95)"	"8 / 24 / 51 / 153"	0.677774949365627
"BRCA1"	"Vest3Score"	0.87	"0.9 (0.849-0.95)"	"8 / 24 / 51 / 153"	0.677774949365627
"BRCA1"	"NewRFModel"	0.3	"0.92 (0.879-0.96)"	"8 / 26 / 51 / 151"	0.662672836467508
"BRCA1"	"a_gvgd_prior"	0.29	"0.88 (0.829-0.931)"	"7 / 37 / 54 / 150"	0.614207635020129
"BRCA1"	"PERCH_noMAF"	0.21	"0.87 (0.814-0.924)"	"10 / 31 / 51 / 156"	0.61360318143902
"BRCA1"	"PERCH"	0.24	"0.87 (0.819-0.922)"	"10 / 32 / 51 / 155"	0.606860465734233
"BRCA1"	"Polyphen2HvarRankscore"	0.92	"0.89 (0.845-0.93)"	"11 / 30 / 48 / 147"	0.592882155443582
"BRCA1"	"Polyphen2HvarScore"	1	"0.89 (0.845-0.93)"	"11 / 30 / 48 / 147"	0.592882155443582
"BRCA1"	"MetasvmRankscore"	0.91	"0.89 (0.844-0.928)"	"11 / 34 / 48 / 143"	0.565151352385685
"BRCA1"	"MetasvmScore"	0.52	"0.89 (0.844-0.928)"	"11 / 34 / 48 / 143"	0.565151352385685
"BRCA1"	"SiftConvertedRankscore"	0.91	"0.83 (0.786-0.871)"	"5 / 52 / 54 / 125"	0.541012686225555
"BRCA2"	"NewVoteModel-Validation"	4	"0.89 (0.826-0.963)"	"6 / 9 / 29 / 59"	0.683416646858872
"BRCA2"	"PERCH"	0.3	"0.89 (0.847-0.939)"	"11 / 21 / 60 / 115"	0.671791194261594
"BRCA2"	"PERCH_noMAF"	0.27	"0.88 (0.832-0.929)"	"12 / 23 / 59 / 113"	0.642404029356084
"BRCA2"	"NewRFModel"	0.37	"0.9 (0.843-0.947)"	"12 / 24 / 59 / 111"	0.632930527795469
"BRCA2"	"MetasvmRankscore"	0.93	"0.87 (0.824-0.923)"	"15 / 29 / 56 / 107"	0.555331604140708
"BRCA2"	"MetasvmScore"	0.7	"0.87 (0.824-0.923)"	"15 / 29 / 56 / 107"	0.555331604140708
"BRCA2"	"MetalrRankscore"	0.92	"0.87 (0.823-0.922)"	"16 / 30 / 55 / 106"	0.534645327002481
"BRCA2"	"MetalrScore"	0.77	"0.87 (0.823-0.922)"	"16 / 30 / 55 / 106"	0.534645327002481
"BRCA2"	"Vest3Rankscore"	0.8	"0.83 (0.776-0.893)"	"16 / 30 / 55 / 106"	0.534645327002481
"BRCA2"	"Vest3Score"	0.81	"0.83 (0.776-0.893)"	"16 / 30 / 55 / 106"	0.534645327002481
"BRCA2"	"Polyphen2HvarRankscore"	0.97	"0.81 (0.757-0.862)"	"15 / 35 / 56 / 100"	0.506722713453277
"BRCA2"	"Polyphen2HvarScore"	1	"0.81 (0.757-0.862)"	"15 / 35 / 56 / 100"	0.506722713453277
