"supp3.names"	"tn"	"fn"	"fp"	"tp"	"sens"	"spec"	"mcc"	"Gene"	"cutoff"
"FathmmConvertedRankscore"	30	8	147	51	0.864406779661017	0.169491525423729	0.0399361531915436	"BRCA1"	0.8133
"FathmmScore"	30	8	147	51	0.864406779661017	0.169491525423729	0.0399361531915436	"BRCA1"	-1.5
"MetalrRankscore"	82	1	95	58	0.983050847457627	0.463276836158192	0.404745195630975	"BRCA1"	0.8111
"MetalrScore"	82	1	95	58	0.983050847457627	0.463276836158192	0.404745195630975	"BRCA1"	0.5
"MetasvmRankscore"	118	2	59	57	0.966101694915254	0.666666666666667	0.54807220488039	"BRCA1"	0.8227
"MetasvmScore"	118	2	59	57	0.966101694915254	0.666666666666667	0.54807220488039	"BRCA1"	0
"MutationtasterConvertedRankscore"	82	0	95	59	1	0.463276836158192	0.421294644505692	"BRCA1"	0.3171
"MutationtasterScore"	1	0	176	59	1	0.00564971751412429	0.0376621788577355	"BRCA1"	0.5
"Polyphen2HdivRankscore"	48	0	129	59	1	0.271186440677966	0.291729982995789	"BRCA1"	0.3428
"Polyphen2HdivScore"	48	0	129	59	1	0.271186440677966	0.291729982995789	"BRCA1"	0.453
"Polyphen2HvarRankscore"	64	0	113	59	1	0.361581920903955	0.35218036253025	"BRCA1"	0.442
"Polyphen2HvarScore"	64	0	113	59	1	0.361581920903955	0.35218036253025	"BRCA1"	0.447
"ProveanConvertedRankscore"	95	3	82	56	0.949152542372881	0.536723163841808	0.426958085926391	"BRCA1"	0.543
"ProveanScore"	177	58	0	1	0.0169491525423729	1	0.112986536573206	"BRCA1"	-2.5
"SiftConvertedRankscore"	50	1	127	58	0.983050847457627	0.282485875706215	0.279361322718418	"BRCA1"	0.395
"SiftScore"	50	1	127	58	0.983050847457627	0.282485875706215	0.279361322718418	"BRCA1"	0.05
"FathmmConvertedRankscore"	73	7	63	64	0.901408450704225	0.536764705882353	0.427166850609486	"BRCA2"	0.8133
"FathmmScore"	73	7	63	64	0.901408450704225	0.536764705882353	0.427166850609486	"BRCA2"	-1.5
"MetalrRankscore"	49	1	87	70	0.985915492957746	0.360294117647059	0.383974974013968	"BRCA2"	0.8111
"MetalrScore"	49	1	87	70	0.985915492957746	0.360294117647059	0.383974974013968	"BRCA2"	0.5
"MetasvmRankscore"	53	1	83	70	0.985915492957746	0.389705882352941	0.406075073618375	"BRCA2"	0.8227
"MetasvmScore"	53	1	83	70	0.985915492957746	0.389705882352941	0.406075073618375	"BRCA2"	0
"MutationtasterConvertedRankscore"	32	1	104	70	0.985915492957746	0.235294117647059	0.286860681427264	"BRCA2"	0.3171
"MutationtasterScore"	1	0	135	71	1	0.00735294117647059	0.0503414951470248	"BRCA2"	0.5
"Polyphen2HdivRankscore"	16	1	119	70	0.985915492957746	0.118518518518519	0.180377621572259	"BRCA2"	0.3428
"Polyphen2HdivScore"	16	1	119	70	0.985915492957746	0.118518518518519	0.180377621572259	"BRCA2"	0.453
"Polyphen2HvarRankscore"	30	1	105	70	0.985915492957746	0.222222222222222	0.276660380660969	"BRCA2"	0.442
"Polyphen2HvarScore"	30	1	105	70	0.985915492957746	0.222222222222222	0.276660380660969	"BRCA2"	0.447
"ProveanConvertedRankscore"	126	60	10	11	0.154929577464789	0.926470588235294	0.127984624332801	"BRCA2"	0.543
"ProveanScore"	126	60	10	11	0.154929577464789	0.926470588235294	0.127984624332801	"BRCA2"	-2.5
"SiftConvertedRankscore"	27	0	109	71	1	0.198529411764706	0.279837137509323	"BRCA2"	0.395
"SiftScore"	27	0	109	71	1	0.198529411764706	0.279837137509323	"BRCA2"	0.05
